agent_name,model,priming,round,balance
Agent-4,claude,cooperative,9,1050
Agent-5,claude,competitive,9,950
Agent-6,openai,neutral,9,1000
Agent-7,claude,neutral,9,775
Agent-8,claude,strategic,9,1300
Agent-9,claude,strategic,9,1075
Agent-1,openai,neutral,10,1000
Agent-10,claude,competitive,10,1000
Agent-11,openai,strategic,10,950
Agent-12,openai,competitive,10,1050
Agent-13,openai,cooperative,10,1100
Agent-14,openai,cooperative,10,1000
Agent-15,claude,cooperative,10,850
Agent-16,openai,competitive,10,1100
Agent-2,openai,strategic,10,1150
Agent-3,claude,neutral,10,750
Agent-4,claude,cooperative,10,1000
Agent-5,claude,competitive,10,950
Agent-6,openai,neutral,10,1000
Agent-7,claude,neutral,10,775
Agent-8,claude,strategic,10,1250
Agent-9,claude,strategic,10,1075
Agent-1,openai,neutral,11,1050
Agent-10,claude,competitive,11,1000
Agent-11,openai,strategic,11,1000
Agent-12,openai,competitive,11,1050
Agent-13,openai,cooperative,11,1050
Agent-14,openai,cooperative,11,950
Agent-15,claude,cooperative,11,850
Agent-16,openai,competitive,11,1050
Agent-2,openai,strategic,11,1200
Agent-3,claude,neutral,11,700
Agent-4,claude,cooperative,11,1000
Agent-5,claude,competitive,11,950
Agent-6,openai,neutral,11,950
Agent-7,claude,neutral,11,775
Agent-8,claude,strategic,11,1300
Agent-9,claude,strategic,11,1125
Agent-1,openai,neutral,12,1050
Agent-10,claude,competitive,12,1050
Agent-11,openai,strategic,12,950
Agent-12,openai,competitive,12,1050
Agent-13,openai,cooperative,12,1050
Agent-14,openai,cooperative,12,950
Agent-15,claude,cooperative,12,850
Agent-16,openai,competitive,12,1050
Agent-2,openai,strategic,12,1250
Agent-3,claude,neutral,12,700
Agent-4,claude,cooperative,12,1000
Agent-5,claude,competitive,12,950
Agent-6,openai,neutral,12,950
Agent-7,claude,neutral,12,725
Agent-8,claude,strategic,12,1300
Agent-9,claude,strategic,12,1125
Agent-1,openai,neutral,13,1000
Agent-10,claude,competitive,13,1100
Agent-11,openai,strategic,13,900
Agent-12,openai,competitive,13,1050
Agent-13,openai,cooperative,13,1100
Agent-14,openai,cooperative,13,950
Agent-15,claude,cooperative,13,800
Agent-16,openai,competitive,13,1000
Agent-2,openai,strategic,13,1300
Agent-3,claude,neutral,13,800
Agent-4,claude,cooperative,13,1000
Agent-5,claude,competitive,13,900
Agent-6,openai,neutral,13,1000
Agent-7,claude,neutral,13,675
Agent-8,claude,strategic,13,1250
Agent-9,claude,strategic,13,1175
Agent-1,openai,neutral,14,1050
Agent-10,claude,competitive,14,1150
Agent-11,openai,strategic,14,850
Agent-12,openai,competitive,14,1050
Agent-13,openai,cooperative,14,1100
Agent-14,openai,cooperative,14,950
Agent-15,claude,cooperative,14,750
Agent-16,openai,competitive,14,950
Agent-2,openai,strategic,14,1350
Agent-3,claude,neutral,14,850
Agent-4,claude,cooperative,14,1000
Agent-5,claude,competitive,14,950
Agent-6,openai,neutral,14,1000
Agent-7,claude,neutral,14,625
Agent-8,claude,strategic,14,1200
Agent-9,claude,strategic,14,1175
Agent-1,openai,neutral,15,1050
Agent-10,claude,competitive,15,1200
Agent-11,openai,strategic,15,850
Agent-12,openai,competitive,15,1050
Agent-13,openai,cooperative,15,1100
Agent-14,openai,cooperative,15,900
Agent-15,claude,cooperative,15,750
